stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021003191099000,Skebobruk södra (Norrtälje),59.964318,18.607138,1,,
9021003191100000,Harbro by (Norrtälje),59.978863,18.597579,1,,
9021003191101000,Vidö vägskäl (Norrtälje),59.991891,18.590933,1,,
9021003191102000,Fridhem (Norrtälje),59.998475,18.584942,1,,
9021003191103000,Edebo prästgård (Norrtälje),60.004587,18.580864,1,,
9021003191104000,Edebo kyrka (Norrtälje),60.008239,18.576327,1,,
9021003191105000,Lundås vägskäl (Norrtälje),60.022569,18.595237,1,,
9021003191106000,Häverödals hotell (Häverödal) (Norrtälje,60.027065,18.605164,1,,
9021003191107000,Almvägen (Häverödal) (Norrtälje),60.029955,18.605678,1,,
9021003191108000,Peter Mats väg (Häverödal) (Norrtälje),60.034674,18.602936,1,,
9021003191109000,Gottsta norra (Hallstavik) (Norrtälje),60.038770,18.602044,1,,
9021003191110000,Ågränd (Hallstavik) (Norrtälje),60.040560,18.600669,1,,
9021003191111000,Margaretavägen (Hallstavik) (Norrtälje),60.044752,18.598653,1,,
9021003191112000,Kristinagården (Hallstavik) (Norrtälje),60.046992,18.598897,1,,
9021003191113000,Väster Knutby (Norrtälje),59.764948,18.691302,1,,
9021003191114000,Vingelebacke (Norrtälje),59.770077,18.682662,1,,
9021003191115000,Malsta vägskäl (Norrtälje),59.775546,18.672410,1,,
9021003191116000,Södra Nånö (Norrtälje),59.779393,18.671066,1,,
9021003191117000,Norra Nånö (Norrtälje),59.786183,18.668156,1,,
9021003191118000,Haggård (Norrtälje),59.797657,18.657608,1,,
9021003191119000,Ekeby vägskäl (Norrtälje),59.800850,18.654102,1,,
9021003191120000,Flemingsberg (Norrtälje),59.805311,18.650044,1,,
9021003191121000,Lohärads vägskäl östra (Norrtälje),59.812731,18.649161,1,,
9021003191122000,Estuna kyrka (Norrtälje),59.817858,18.650899,1,,
9021003191123000,Norrmalma (Norrtälje),59.830227,18.655808,1,,
9021003191124000,Svanberga affär (Norrtälje),59.838759,18.660357,1,,
9021003191125000,Svanberga norra (Norrtälje),59.843149,18.667908,1,,
9021003191126000,Risslingby (Norrtälje),59.849813,18.671194,1,,
9021003191127000,Jersö vägskäl (Norrtälje),59.854477,18.673130,1,,
9021003191128000,Karls kyrkoruin (Norrtälje),59.858444,18.681078,1,,
9021003191129000,Sebende (Norrtälje),59.860564,18.687226,1,,
9021003191130000,Galltorp (Norrtälje),59.872196,18.698254,1,,
9021003191131000,Söderby Karls vägskäl (Norrtälje),59.880872,18.698651,1,,
9021003191132000,Norrmarjum (Norrtälje),59.884884,18.679074,1,,
9021003191133000,Flottiljområdet (Barkarby) (Järfälla),59.420839,17.855185,1,,
9021003191134000,Vigelsjövägen (Norrtälje),59.761908,18.690238,1,,
9021003191135000,Aspsunds vägskäl (Norrtälje),59.863809,18.693257,1,,
9021003191136000,Sonö vägskäl (Norrtälje),59.881626,18.697037,1,,
9021003191137000,Prästtorp (Norrtälje),59.888975,18.658624,1,,
9021003191138000,Sonö östra (Norrtälje),59.896996,18.615158,1,,
9021003191139000,Sonö västra (Norrtälje),59.901646,18.594543,1,,
9021003191140000,Skogsvägen (Edsbro) (Norrtälje),59.894594,18.483381,1,,
9021003191141000,Gärsta (Edsbro) (Norrtälje),59.894059,18.474348,1,,
9021003191142000,Billsta (Edsbro) (Norrtälje),59.893989,18.458220,1,,
9021003191143000,Idrottsplatsen (Edsbro) (Norrtälje),59.894967,18.450684,1,,
9021003191144000,Ytterby gård (Norrtälje),59.895147,18.444407,1,,
9021003191145000,Smara vändplan (Norrtälje),59.878166,18.409617,1,,
9021003191146000,Smara vägskäl (Norrtälje),59.894556,18.425396,1,,
9021003191147000,Husby vägskäl (Norrtälje),59.741252,18.525599,1,,
9021003191148000,Rösa trafikplats (Norrtälje),59.732672,18.564071,1,,
9021003191149000,Lövsta (Norrtälje),59.738185,18.401566,1,,
9021003191150000,Eknäs (Norrtälje),59.735197,18.272836,1,,
9021003191151000,Styrmansvägen (Arlanda) (Sigtuna),59.651498,17.955777,1,,
9021003191152000,Sigtuna säteri (Sigtuna),59.658558,17.679317,1,,
9021003191153000,Hagbyholmsvägen (Sigtuna),59.653473,17.661843,1,,
9021003191154000,Granby (Sigtuna),59.650274,17.646748,1,,
9021003191155000,Killinge (Sigtuna),59.601106,17.610795,1,,
9021003191156000,Lövhagen (Sigtuna),59.590935,17.600829,1,,
9021003191157000,Driftvägen (Arlanda) (Sigtuna),59.648115,17.941902,1,,
9021003191158000,Tullvägen (Arlanda) (Sigtuna),59.646799,17.937809,1,,
9021003191159000,Versailles (Arlanda) (Sigtuna),59.648518,17.935381,1,,
9021003191160000,Roslags Näsby trafikplats (Täby),59.434420,18.069154,1,,
9021003191161000,Gillingebanan (Vallentuna),59.509116,18.174982,1,,
9021003191162000,Söderhalls trafikplats norra (Vallentuna,59.637931,18.333728,1,,
9021003191163000,Johanneslund (Norrtälje),59.877367,18.479941,1,,
9021003191164000,Hallstavik centrum (Norrtälje),60.049340,18.597425,1,,
9021003191165000,Skälby (Norrtälje),60.011323,18.584675,1,,
