from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003700302001,9022003700302002,1,,33010000188624228,33010000189333186
9022003700302001,9022003700302002,1,,33010000188622980,33010000177137775
9022003700302001,9022003700302002,1,,33010000188624169,33010000189333131
9022003700302001,9022003700302002,1,,33010000188623032,33010000189832254
9022003700302001,9022003700302002,1,,33010000188623790,33010000177775799
9022003700302001,9022003700302002,1,,33010000188623987,33010000177137741
9022003700302001,9022003700302002,1,,33010000187047385,33010000188621389
9022003700302001,9022003700302002,1,,33010000187047238,33010000188622544
9022003700302001,9022003700302002,1,,33010000187047319,33010000188621495
9022003700302001,9022003700302002,1,,33010000187047350,33010000188621548
9022003700302001,9022003700302002,1,,33010000187047447,33010000188621601
9022003780557003,9022003780557001,1,,33010000184079758,33010000188603583
9022003780557003,9022003780557001,1,,33010000184079864,33010000184071524
9022003780557003,9022003780557001,1,,33010000184079864,33010000188603651
9022003780367001,9022003780367001,1,,33010000168542280,33010000188470551
9022003780367001,9022003780367001,1,,33010000168542280,33010000189917384
9022003780367001,9022003780367001,1,,33010000188615514,33010000189919880
9022003780367001,9022003780367001,1,,33010000188615514,33010000190666910
9022003780367001,9022003780367001,1,,33010000188615600,33010000189919304
9022003780367001,9022003780367001,1,,33010000188615600,33010000190666610
9022003780367001,9022003780367001,1,,33010000188616091,33010000182550197
9022003780367001,9022003780367001,1,,33010000188616091,33010000189922776
9022003780367001,9022003780367001,1,,33010000188616299,33010000182548738
9022003780367001,9022003780367001,1,,33010000188616299,33010000189916108
9022003780367001,9022003780367001,1,,33010000188616470,33010000188475730
9022003780367001,9022003780367001,1,,33010000188616470,33010000189923364
9022003780367001,9022003780367001,1,,33010000188615749,33010000188471617
9022003780367001,9022003780367001,1,,33010000188615749,33010000189918440
9022003780367001,9022003780367001,1,,33010000188615887,33010000189921905
9022003780367001,9022003780367001,1,,33010000188615887,33010000190667849
9022003780367001,9022003780367001,1,,33010000188616227,33010000182550686
9022003780367001,9022003780367001,1,,33010000188616227,33010000189923558
9022003780367001,9022003780367001,1,,33010000188616387,33010000182548350
9022003780367001,9022003780367001,1,,33010000188616387,33010000189915724
9022003780367001,9022003780367001,1,,33010000189515619,33010000188473748
9022003780367001,9022003780367001,1,,33010000189515619,33010000189917000
9022003780367001,9022003780367001,1,,33010000188615819,33010000188475331
9022003780367001,9022003780367001,1,,33010000188615819,33010000189921425
9022003780367001,9022003780367001,1,,33010000188616159,33010000182548738
9022003780367001,9022003780367001,1,,33010000188616159,33010000189916108
9022003780367001,9022003780367001,1,,33010000188616555,33010000188475730
9022003780367001,9022003780367001,1,,33010000188616555,33010000189923364
9022003780367001,9022003780367001,1,,33010000188616622,33010000188473748
9022003780367001,9022003780367001,1,,33010000188616622,33010000189917000
9022003780021001,9022003780021001,1,,33010000184075795,33010000188405951
9022003780021001,9022003780021001,1,,33010000184075795,33010000190625360
9022003780021001,9022003780021001,1,,33010000184076002,33010000188406171
9022003780021001,9022003780021001,1,,33010000184075845,33010000188404540
9022003780021001,9022003780021001,1,,33010000184075884,33010000188404869
9022003780021001,9022003780021001,1,,33010000184075936,33010000188405654
9022003780021001,9022003780021001,1,,33010000184075936,33010000188406556
9022003780107001,9022003780107001,1,,33010000180941404,33010000188607977
9022003780107001,9022003780107001,1,,33010000180941545,33010000188607684
9022003780107001,9022003780107001,1,,33010000180941453,33010000188607627
9022003780107001,9022003780107001,1,,33010000180941474,33010000188607798
9022003780107001,9022003780107002,1,,33010000189613483,33010000189615714
9022003780107001,9022003780107002,1,,33010000189613483,33010000177771160
9022003780107001,9022003780107004,1,,33010000189615356,33010000181483138
9022003780107001,9022003780107004,1,,33010000189613413,33010000181483277
9022003780107001,9022003780107002,1,,33010000189613413,33010000189615797
9022003780107001,9022003780107002,1,,33010000189613413,33010000177771244
9022003780107001,9022003780107004,1,,33010000189613904,33010000188991427
9022003780107001,9022003780107004,1,,33010000189613904,33010000188469979
9022003700424001,9022003700424001,1,,33010000189513457,33010000188999697
9022003700424001,9022003700424001,1,,33010000189513637,33010000189822563
9022003780107001,9022003780107001,1,,33010000180936604,33010000188607684
9022003780107001,9022003780107001,1,,33010000181916786,33010000188607627
9022003780107001,9022003780107001,1,,33010000181916629,33010000187043596
9022003780107001,9022003780107001,1,,33010000181916866,33010000188607570
9022003780028002,9022003780028001,1,,33010000159208167,33010000188405654
9022003780869001,9022003780869001,1,,33010000189612420,33010000189828794
9022003780869001,9022003780869001,1,,33010000189612420,33010000190799610
9022003780297001,9022003780297001,1,,33010000188602923,33010000188599312
9022003780297001,9022003780297001,1,,33010000188602923,33010000188602522
9022003780297001,9022003780297001,1,,33010000188602575,33010000188599312
9022003780297002,9022003780297002,1,,33010000188602721,33010000188603058
9022003780376001,9022003780376001,1,,33010000189826445,33010000189826378
9022003780376002,9022003780376001,1,,33010000188916272,33010000188589844
9022003780376002,9022003780376001,1,,33010000188916272,33010000190796081
9022003780376002,9022003780376001,1,,33010000188916272,33010000191332052
9022003780376001,9022003780376001,1,,33010000189826537,33010000190795993
9022003780376001,9022003780376001,1,,33010000189826537,33010000191235091
9022003780376001,9022003780376001,1,,33010000189611419,33010000188590190
9022003780376001,9022003780376001,1,,33010000189611419,33010000189826378
9022003780240001,9022003780240001,1,,33010000188599312,33010000189826378
9022003730000003,9022003730000002,1,,33010000187035194,33010000159401017
9022003780233002,9022003780233001,1,,33010000189510477,33010000188378522
9022003780233002,9022003780233001,1,,33010000189510477,33010000190814837
9022003780233002,9022003780233001,1,,33010000189510734,33010000187056577
9022003780233002,9022003780233001,1,,33010000189510989,33010000187056912
9022003780233002,9022003780233001,1,,33010000189510989,33010000188379044
9022003780233002,9022003780233001,1,,33010000189511040,33010000187056068
9022003780233002,9022003780233001,1,,33010000189511091,33010000187056202
9022003780233002,9022003780233001,1,,33010000189511142,33010000188378972
9022003780233002,9022003780233001,1,,33010000189511193,33010000188379243
9022003780233002,9022003780233001,1,,33010000189510581,33010000187056269
9022003780233002,9022003780233001,1,,33010000189510785,33010000187056644
9022003780233002,9022003780233001,1,,33010000189510836,33010000187056711
9022003780233002,9022003780233001,1,,33010000189510938,33010000187056845
9022003780233002,9022003780233001,1,,33010000189511244,33010000187055658
9022003780233002,9022003780233001,1,,33010000189511397,33010000188378837
9022003780233002,9022003780233001,1,,33010000189510530,33010000187056135
9022003780233002,9022003780233001,1,,33010000189510632,33010000187056336
9022003780233002,9022003780233001,1,,33010000189511295,33010000187055725
9022003780233002,9022003780233001,1,,33010000189511346,33010000187055792
9022003780233002,9022003780233001,1,,33010000189510683,33010000188378904
9022003780233002,9022003780233001,1,,33010000189510887,33010000187056778
9022003780373003,9022003780373001,1,,33010000187242010,33010000187249743
9022003780373003,9022003780373001,1,,33010000187242069,33010000187250816
9022003780373003,9022003780373001,1,,33010000187242035,33010000187249865
9022003780373003,9022003780373001,1,,33010000187242183,33010000187249621
9022003780373003,9022003780373001,1,,33010000187242126,33010000187249499
9022003780373003,9022003780373001,1,,33010000188589700,33010000188626337
9022003780373003,9022003780373001,1,,33010000188590249,33010000188626206
9022003780373003,9022003780373001,1,,33010000188590249,33010000188626473
9022003780373003,9022003780373001,1,,33010000188589844,33010000188627236
9022003780376001,9022003780376002,1,,33010000188589844,33010000188916272
9022003780376001,9022003780376001,1,,33010000188589844,33010000190796081
9022003780376001,9022003780376001,1,,33010000188589844,33010000191332052
9022003780373003,9022003780373001,1,,33010000188590190,33010000188627422
9022003780376001,9022003780376001,1,,33010000188590190,33010000189826378
9022003780376002,9022003780376001,1,,33010000188590324,33010000189825409
9022003780376002,9022003780376001,1,,33010000188590324,33010000189826608
9022003780376002,9022003780376001,1,,33010000188590324,33010000191235239
9022003779142001,9022003779142001,1,,33010000184066961,33010000188608431
9022003779142002,9022003779142002,1,,33010000184066961,33010000189615356
9022003779142001,9022003779142001,1,,33010000184066769,33010000187043596
9022003779142001,9022003779142002,1,,33010000184066769,33010000189613448
9022003700424001,9022003700424001,1,,33010000184066769,33010000189822563
9022003779142002,9022003779142001,1,,33010000180930770,33010000187043596
9022003779142002,9022003779142001,1,,33010000188588897,33010000187043428
9022003779142002,9022003779142002,1,,33010000188588897,33010000189613343
9022003779142001,9022003779142001,1,,33010000188588842,33010000187043428
9022003779142002,9022003779142002,1,,33010000188588842,33010000189613343
9022003779142002,9022003779142001,1,,33010000188588953,33010000188608431
9022003779142002,9022003779142002,1,,33010000188588953,33010000189615356
9022003700424001,9022003700424001,1,,33010000189509748,33010000188999697
9022003700424001,9022003700424001,1,,33010000189509796,33010000188999697
9022003793035002,9022003793035002,1,,33010000177744609,33010000182500297
9022003793051002,9022003793051001,1,,33010000177744609,33010000182500297
9022003793051002,9022003793051001,1,,33010000177744609,33010000188404329
9022003793051002,9022003793051001,1,,33010000177744554,33010000188404147
9022003793035002,9022003793035002,1,,33010000177744554,33010000188411767
9022003793051002,9022003793051001,1,,33010000177744554,33010000188411767
9022003793051002,9022003793051001,1,,33010000177744664,33010000182495615
9022003793035002,9022003793035002,1,,33010000177744664,33010000182500489
9022003793051002,9022003793051001,1,,33010000177744664,33010000182500489
9022003793051002,9022003793051001,1,,33010000188579764,33010000188403963
9022003793035002,9022003793035002,1,,33010000188579764,33010000188410592
9022003793051002,9022003793051001,1,,33010000188580010,33010000188405473
9022003793035002,9022003793035001,1,,33010000188580010,33010000188405473
9022003793035002,9022003793035002,1,,33010000188580010,33010000188409194
9022003793051002,9022003793051001,1,,33010000188580010,33010000188409194
9022003793035002,9022003793035001,1,,33010000188580066,33010000188408733
9022003793051002,9022003793051001,1,,33010000188580317,33010000190625360
9022003793035002,9022003793035001,1,,33010000188579954,33010000188403690
9022003793051002,9022003793051001,1,,33010000188580194,33010000188408624
9022003793035002,9022003793035001,1,,33010000188580194,33010000188408624
9022003793035002,9022003793035002,1,,33010000188580194,33010000188409637
9022003793051002,9022003793051001,1,,33010000188580194,33010000188409637
9022003793051002,9022003793051001,1,,33010000188580249,33010000188408296
9022003793035002,9022003793035001,1,,33010000188580249,33010000188408296
9022003793035002,9022003793035002,1,,33010000188580249,33010000188412838
9022003793051002,9022003793051001,1,,33010000188580249,33010000188412838
9022003793035002,9022003793035001,1,,33010000189975295,33010000188403690
9022003793035002,9022003793035001,1,,33010000189975477,33010000188408733
9022003793051002,9022003793051001,1,,33010000189975743,33010000188404147
9022003793035002,9022003793035002,1,,33010000189975743,33010000191211662
9022003793051002,9022003793051001,1,,33010000189975743,33010000191211662
9022003793051002,9022003793051001,1,,33010000189975853,33010000182495615
9022003793035002,9022003793035002,1,,33010000189975853,33010000191211462
9022003793051002,9022003793051001,1,,33010000189975853,33010000191211462
9022003793051002,9022003793051001,1,,33010000189975915,33010000188405473
9022003793035002,9022003793035001,1,,33010000189975915,33010000188405473
9022003793035002,9022003793035002,1,,33010000189975915,33010000191209583
9022003793051002,9022003793051001,1,,33010000189975915,33010000191209583
9022003793051002,9022003793051001,1,,33010000189975589,33010000188408296
9022003793035002,9022003793035001,1,,33010000189975589,33010000188408296
9022003793035002,9022003793035002,1,,33010000189975589,33010000191212533
9022003793051002,9022003793051001,1,,33010000189975589,33010000191212533
